epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.919,1.19153,2.02239,1.4836,0.94008,0.92956,0.9632,0.85703,0.39941,0.63942,0.84715,0.00332907,0.00332907,0.00332907
2,323.934,1.06395,1.49714,1.40499,0.94656,0.94196,0.97244,0.8519,0.43572,0.54075,0.86052,0.00661843,0.00661843,0.00661843
3,481.382,1.07934,1.44101,1.41813,0.9527,0.93526,0.97366,0.85359,0.46443,0.47402,0.86563,0.00986379,0.00986379,0.00986379
4,638.444,1.05406,1.38511,1.40556,0.96002,0.94172,0.97907,0.88558,0.39894,0.41979,0.84817,0.009802,0.009802,0.009802
5,795.7,1.00597,1.32997,1.38056,0.96333,0.95926,0.98023,0.89275,0.36308,0.38756,0.82403,0.009736,0.009736,0.009736
6,952.147,0.98167,1.29755,1.37128,0.96527,0.96735,0.98543,0.91979,0.33981,0.32093,0.81886,0.00967,0.00967,0.00967
7,1108.22,0.94613,1.24898,1.34849,0.97009,0.97262,0.98578,0.93063,0.32112,0.3085,0.81501,0.009604,0.009604,0.009604
8,1264.76,0.93048,1.23661,1.34582,0.9689,0.96203,0.98622,0.92891,0.32624,0.30831,0.81836,0.009538,0.009538,0.009538
9,1420.93,0.91056,1.20672,1.33173,0.97306,0.97146,0.98912,0.92993,0.30384,0.28191,0.80705,0.009472,0.009472,0.009472
10,1577.78,0.88258,1.17257,1.31022,0.97678,0.9717,0.98856,0.93955,0.28789,0.26405,0.80041,0.009406,0.009406,0.009406
11,1734.29,0.87916,1.16441,1.31156,0.97559,0.97613,0.98753,0.94807,0.27255,0.25161,0.7945,0.00934,0.00934,0.00934
12,1890.73,0.87536,1.16415,1.31235,0.97874,0.97751,0.98902,0.94908,0.27168,0.2462,0.79236,0.009274,0.009274,0.009274
13,2046.57,0.85657,1.14258,1.29869,0.98113,0.97582,0.99081,0.94961,0.26605,0.24566,0.79286,0.009208,0.009208,0.009208
14,2202.63,0.85697,1.13838,1.30157,0.97587,0.97751,0.98774,0.952,0.25875,0.23923,0.78779,0.009142,0.009142,0.009142
15,2359.21,0.8625,1.1491,1.30598,0.96845,0.97848,0.9877,0.94952,0.26461,0.24021,0.79037,0.009076,0.009076,0.009076
16,2516.65,0.84959,1.13474,1.30399,0.97927,0.98237,0.98995,0.95407,0.26051,0.22728,0.7907,0.00901,0.00901,0.00901
17,2672.64,0.84125,1.1253,1.29706,0.97437,0.97219,0.98854,0.95198,0.2562,0.24079,0.7861,0.008944,0.008944,0.008944
18,2828.73,0.82702,1.10121,1.28136,0.97602,0.98436,0.99034,0.95864,0.24283,0.20944,0.78108,0.008878,0.008878,0.008878
19,2985.31,0.83033,1.1073,1.29056,0.98019,0.98108,0.99026,0.95793,0.24984,0.21676,0.78334,0.008812,0.008812,0.008812
